代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,技术评分,综合评分,板块,所属行业
603989,艾华集团,3,113.33,31.75,28.48,25.01,22.7,9.17,2.66,+3.42%,+11.72%,55,128.3,上交所,元件
000509,华塑控股,3,50.87,4.74,4.12,4.0,3.85,8.05,1.8,+9.98%,+20.92%,55,124.0,深交所,光学光电
605580,恒盛能源,2,68.07,25.9,22.7,22.33,22.09,6.56,2.03,+6.54%,+17.19%,60,110.1,上交所,电力
600850,电科数字,2,153.11,22.85,22.04,21.08,20.48,5.15,1.97,+5.74%,+5.30%,60,109.8,上交所,IT服务Ⅱ
001331,胜通能源,2,133.71,67.83,61.86,58.7,53.49,6.16,1.71,+10.01%,+10.26%,60,108.5,深交所,燃气Ⅱ
603203,快克智能,3,165.81,68.88,63.48,62.81,55.72,6.48,0.94,+3.50%,+13.85%,40,104.7,上交所,自动化设
603931,格林达,2,109.06,60.1,54.92,50.38,44.99,5.24,1.26,+1.26%,+9.97%,55,101.3,上交所,电子化学
000536,华映科技,1,118.54,4.6,4.31,4.15,4.08,8.32,4.58,+4.78%,+5.02%,55,97.9,深交所,光学光电
603223,恒通股份,1,75.52,11.58,10.64,9.98,9.56,5.01,2.71,+2.30%,+8.22%,60,93.6,上交所,炼化及贸
605488,福莱新材,1,106.39,40.96,39.43,37.54,35.94,7.39,2.66,+2.35%,+0.20%,60,93.3,上交所,塑料
600635,大众公用,1,145.85,6.03,5.63,5.46,5.4,5.98,2.6,+10.04%,+6.91%,60,93.0,上交所,燃气Ⅱ
688419,耐科装备,1,63.16,60.5,59.34,53.5,48.78,7.2,1.86,-5.19%,+0.10%,60,89.3,科创板,半导体
600592,龙溪股份,1,84.95,21.98,20.22,19.96,19.73,7.08,1.87,+3.39%,+13.71%,60,89.3,上交所,通用设备
603678,火炬电子,1,179.19,40.64,37.45,35.4,34.54,9.58,2.76,+2.89%,+7.86%,55,88.8,上交所,军工电子
603012,创力集团,1,61.74,9.9,9.78,9.52,9.28,5.42,1.57,-4.07%,+1.64%,60,87.9,上交所,专用设备
600376,首开股份,1,123.05,5.02,4.6,4.58,4.58,9.95,2.42,+5.24%,+15.67%,55,87.1,上交所,房地产开
600520,三佳科技,2,58.33,36.82,32.6,31.55,30.74,6.88,1.12,+10.01%,+21.00%,40,85.6,上交所,专用设备
300868,杰美特,2,95.07,119.28,103.75,98.3,88.85,6.41,1.04,+1.33%,+21.59%,40,85.2,创业板,消费电子
603726,朗迪集团,1,55.69,30.45,29.63,28.8,26.85,6.53,1.45,+1.30%,+5.00%,55,82.3,上交所,家电零部
603693,江苏新能,1,146.47,17.87,17.35,16.78,16.11,5.41,1.42,-2.77%,+1.02%,55,82.1,上交所,电力
600207,安彩高科,1,67.86,7.1,6.74,6.67,6.33,7.47,1.41,+3.65%,+5.50%,55,82.0,上交所,光伏设备
600784,鲁银投资,1,52.7,8.7,8.13,7.86,7.66,5.59,1.31,+7.14%,+11.11%,55,81.6,上交所,化学原料
603800,洪田股份,1,130.25,65.5,61.71,59.43,56.02,5.98,1.23,+1.39%,+4.60%,55,81.2,上交所,专用设备
603859,能科科技,1,110.9,46.17,46.1,44.33,42.35,6.77,1.23,-2.29%,+0.17%,55,81.1,上交所,IT服务Ⅱ
000600,建投能源,1,118.6,10.48,10.24,10.17,9.9,6.17,1.23,+1.95%,+3.46%,55,81.1,深交所,电力
600714,金瑞矿业,2,86.08,31.6,29.68,27.95,24.68,9.39,1.14,-1.40%,+5.79%,35,80.7,上交所,化学原料
688020,方邦股份,1,136.62,167.2,157.82,154.29,152.09,9.33,1.43,-4.29%,+0.83%,50,77.2,科创板,元件
300258,精锻科技,1,80.13,14.76,14.27,13.87,12.97,9.17,1.45,-2.19%,+5.58%,50,77.2,创业板,汽车零部
688360,德马科技,1,61.0,26.32,25.65,23.12,20.97,9.24,2.29,-3.91%,-1.83%,45,76.4,科创板,通用设备
600382,广东明珠,1,61.52,8.98,8.93,8.75,8.62,7.19,1.24,-2.39%,-6.07%,45,71.2,上交所,冶钢原料
300652,雷迪克,1,56.65,52.38,49.81,48.56,46.04,6.64,1.19,+0.54%,+6.29%,40,65.9,创业板,汽车零部
603608,天创时尚,1,70.89,19.11,17.56,16.32,14.81,7.17,1.14,+10.02%,+12.48%,40,65.7,上交所,服装家纺
603867,新化股份,1,90.91,41.0,40.46,39.43,37.29,6.3,1.06,-2.54%,-2.73%,40,65.3,上交所,化学制品
000697,炼石航空,1,76.81,12.74,12.29,12.24,11.61,5.3,0.88,-2.45%,+5.73%,40,64.4,深交所,航空装备
603002,宏昌电子,1,173.74,16.98,16.11,15.91,15.32,7.32,0.81,+2.78%,+4.24%,40,64.1,上交所,电子化学
601609,金田股份,1,197.24,13.82,13.81,13.49,12.05,5.44,0.77,+0.73%,-0.36%,40,63.8,上交所,工业金属
300004,南风股份,1,77.85,16.36,16.35,16.28,14.98,7.97,0.68,-4.33%,+1.30%,40,63.4,创业板,专用设备
001359,平安电工,1,50.33,105.9,103.84,103.82,97.45,5.73,0.67,-2.92%,+1.27%,40,63.4,深交所,塑料
688143,长盈通,1,158.89,143.84,141.84,124.68,96.68,7.72,0.47,-5.68%,+3.88%,40,62.3,科创板,通信设备
